timestamp	close	rsi	so	wr	emacd
2021-05-12 18:00:00	1.71833	53.37	79.35	-20.65	None
2021-05-12 18:05:00	1.70889	53.04	45.12	-54.88	None
2021-05-12 18:10:00	1.69864	48.37	15.01	-84.99	None
2021-05-12 18:15:00	1.68622	50.36	19.87	-80.13	None
2021-05-12 18:20:00	1.69812	50.42	43.22	-56.78	None
2021-05-12 18:25:00	1.70924	54.28	65.04	-34.96	None
2021-05-12 18:30:00	1.69801	49.72	43.01	-56.99	None
2021-05-12 18:35:00	1.68106	48.17	9.75	-90.25	None
2021-05-12 18:40:00	1.68185	42.22	28.2	-71.8	0.007698529214944549
2021-05-12 18:45:00	1.69496	46.05	52.27	-47.73	0.007600518481687938
2021-05-12 18:50:00	1.69	44.6	45.39	-54.61	0.008081739011704713
2021-05-12 18:55:00	1.69342	44.52	51.38	-48.62	0.008096410509383449
2021-05-12 19:00:00	1.68617	43.32	38.68	-61.32	0.008595509966143909
2021-05-12 19:05:00	1.66852	40.32	7.76	-92.24	0.008765020526432412
2021-05-12 19:10:00	1.6672	42.88	5.47	-94.53	0.007609844919072684
2021-05-12 19:15:00	1.69475	50.65	69.2	-30.8	0.00446165683140067
2021-05-12 19:20:00	1.68853	52.78	57.45	-42.55	0.0029775836651412917
2021-05-12 19:25:00	1.68948	49.26	59.25	-40.75	0.003032635955229117
2021-05-12 19:30:00	1.68572	50.36	52.14	-47.86	0.0020769321115444994
2021-05-12 19:35:00	1.70132	51.88	83.04	-16.96	-0.000639703195425799
2021-05-12 19:40:00	1.71368	54.13	97.97	-2.03	-0.003382566195998648
2021-05-12 19:45:00	1.70743	58.54	86.95	-13.05	-0.004626769509788397
2021-05-12 19:50:00	1.70513	57.98	82.9	-17.1	-0.005632000070338421
2021-05-12 19:55:00	1.71535	54.46	97.95	-2.05	-0.005949341807213527
2021-05-12 20:00:00	1.71367	57.77	95.07	-4.93	-0.006900752742314318
2021-05-12 20:05:00	1.71615	56.71	90.98	-9.02	-0.009130152529287113
2021-05-12 20:10:00	1.72053	57.42	97.85	-2.15	-0.01127274083458747
2021-05-12 20:15:00	1.71558	68.22	88.99	-11.01	-0.010358486778719367
2021-05-12 20:20:00	1.71444	66.09	87.22	-12.78	-0.009583873887608362
2021-05-12 20:25:00	1.70786	52.19	62.45	-37.55	-0.008176327672695919
2021-05-12 20:30:00	1.72194	54.73	98.1	-1.9	-0.008120562310523377
2021-05-12 20:35:00	1.73125	57.91	98.28	-1.72	-0.007633064125123938
2021-05-12 20:40:00	1.7341	54.04	87.84	-12.16	-0.005933620306334941
2021-05-12 20:45:00	1.73555	47.52	86.74	-13.26	-0.004377155484714301
2021-05-12 20:50:00	1.73481	46.22	83.48	-16.52	-0.00338627337534397
2021-05-12 20:55:00	1.74029	47.69	96.8	-3.2	-0.0027415745721268217
