close,time,rsi,so,wr,emacd
1.69131,5/13/2021 8:15,37.77,0.46,-99.54,0.007035652
1.69938,5/13/2021 8:20,39.84,19.35,-80.65,0.006879838
1.69876,5/13/2021 8:25,42.5,18.3,-81.7,0.006719769
1.69858,5/13/2021 8:30,43.48,18,-82,0.006963871
1.6972,5/13/2021 8:35,42.75,15.66,-84.34,0.006318763
1.68521,5/13/2021 8:40,38.82,3.65,-96.35,0.006056586
1.68323,5/13/2021 8:45,41.01,10.76,-89.24,0.006578374
1.67725,5/13/2021 8:50,40.26,2.4,-97.6,0.006904605
1.65919,5/13/2021 8:55,39.95,13.23,-86.77,0.008786644
1.68146,5/13/2021 9:00,46.9,35.22,-64.78,0.009623162
1.67001,5/13/2021 9:05,46.74,23.92,-76.08,0.009089026
1.65126,5/13/2021 9:10,45.57,6.13,-93.87,0.008316789
1.66986,5/13/2021 9:15,50.46,33.92,-66.08,0.006044728
1.66733,5/13/2021 9:20,48.1,35,-65,0.004533807
1.67591,5/13/2021 9:25,47.93,49.59,-50.41,0.003130073
1.69589,5/13/2021 9:30,49.58,82.48,-17.52,0.001288404
1.6809,5/13/2021 9:35,45.28,62.13,-37.87,-1.08E-05
1.65569,5/13/2021 9:40,39.25,18.27,-81.73,-0.000672412
1.63388,5/13/2021 9:45,41.48,0.87,-99.13,9.91E-05
1.61,5/13/2021 9:50,39.33,12.5,-87.5,0.001633237
1.61673,5/13/2021 9:55,34.75,19.29,-80.71,0.001307569
1.64571,5/13/2021 10:00,37.13,47.38,-52.62,0.00147024
1.6712,5/13/2021 10:05,40.8,72.09,-27.91,-0.000738086
1.67597,5/13/2021 10:10,38.11,76.72,-23.28,-0.004491984
1.68165,5/13/2021 10:15,33.85,82.22,-17.78,-0.00613697
1.67394,5/13/2021 10:20,35.68,74.75,-25.25,-0.007040582
1.68834,5/13/2021 10:25,37.53,88.71,-11.29,-0.007182045
1.6662,5/13/2021 10:30,39.01,67.25,-32.75,-0.004997975
1.68763,5/13/2021 10:35,42.25,88.02,-11.98,-0.004693191
1.72293,5/13/2021 10:40,47.12,100,0,-0.007575677
1.73665,5/13/2021 10:45,45.07,95.17,-4.83,-0.012017742
1.74005,5/13/2021 10:50,44.24,93.66,-6.34,-0.017426568
1.79736,5/13/2021 10:55,49.94,98.7,-1.3,-0.024065383
1.79111,5/13/2021 11:00,59.19,95.62,-4.38,-0.027184494
1.78796,5/13/2021 11:05,65.95,72.37,-27.63,-0.027012027
1.82192,5/13/2021 11:10,66.32,86.42,-13.58,-0.028199911
1.82307,5/13/2021 11:15,63.4,85.6,-14.4,-0.027736248
1.77853,5/13/2021 11:20,54.29,61.77,-38.23,-0.024879915
1.78123,5/13/2021 11:25,53.95,63.21,-36.79,-0.021794505
1.76136,5/13/2021 11:30,52.63,52.59,-47.41,-0.019869827
1.78403,5/13/2021 11:35,52.87,64.71,-35.29,-0.01804548
1.78575,5/13/2021 11:40,51.37,64.87,-35.13,-0.015111846
1.78943,5/13/2021 11:45,48.91,63.45,-36.55,-0.011456966
1.81371,5/13/2021 11:50,46.59,71.25,-28.75,-0.008161158
1.80675,5/13/2021 11:55,51.85,63.01,-36.99,-0.000337672
1.82637,5/13/2021 12:00,54.41,78.45,-21.55,0.005750431
1.86803,5/13/2021 12:05,51.46,98.49,-1.51,0.008690068
