opentime,open,high,low,close,volume,closetime,qav,trades,tbbav,tbqav,ignore
2020-01-01 00:00:00,7197.33000000,7197.33000000,7197.33000000,7197.33000000,0.00000000,2020-01-01 00:04:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 00:05:00,7180.46000000,7181.06000000,7180.46000000,7181.06000000,0.30089700,2020-01-01 00:09:59.999000,2160.72341082,2,0.30089700,2160.72341082,0
2020-01-01 00:10:00,7181.06000000,7181.06000000,7181.06000000,7181.06000000,0.00000000,2020-01-01 00:14:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 00:15:00,7181.06000000,7181.06000000,7181.06000000,7181.06000000,0.00000000,2020-01-01 00:19:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 00:20:00,7181.06000000,7181.06000000,7181.06000000,7181.06000000,0.00000000,2020-01-01 00:24:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 00:25:00,7181.06000000,7181.06000000,7181.06000000,7181.06000000,0.00000000,2020-01-01 00:29:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 00:30:00,7181.06000000,7181.06000000,7181.06000000,7181.06000000,0.00000000,2020-01-01 00:34:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 00:35:00,7178.09000000,7178.09000000,7177.98000000,7177.98000000,0.08214000,2020-01-01 00:39:59.999000,589.60587720,2,0.00000000,0.00000000,0
2020-01-01 00:40:00,7177.98000000,7177.98000000,7177.98000000,7177.98000000,0.00000000,2020-01-01 00:44:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 00:45:00,7178.92000000,7178.92000000,7178.92000000,7178.92000000,0.06679800,2020-01-01 00:49:59.999000,479.53749816,3,0.06679800,479.53749816,0
2020-01-01 00:50:00,7181.12000000,7182.19000000,7176.51000000,7182.08000000,1.15658200,2020-01-01 00:54:59.999000,8302.66439772,10,1.14900500,8248.25305148,0
2020-01-01 00:55:00,7178.14000000,7178.14000000,7175.62000000,7175.62000000,0.06900700,2020-01-01 00:59:59.999000,495.30887986,2,0.00000000,0.00000000,0
2020-01-01 01:00:00,7178.39000000,7182.21000000,7178.39000000,7182.21000000,0.20222600,2020-01-01 01:04:59.999000,1452.20357350,3,0.20222600,1452.20357350,0
2020-01-01 01:05:00,7182.21000000,7182.21000000,7182.21000000,7182.21000000,0.00000000,2020-01-01 01:09:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 01:10:00,7182.21000000,7182.21000000,7182.21000000,7182.21000000,0.00000000,2020-01-01 01:14:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 01:15:00,7182.21000000,7182.21000000,7182.21000000,7182.21000000,0.00000000,2020-01-01 01:19:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 01:20:00,7182.21000000,7182.21000000,7182.21000000,7182.21000000,0.00000000,2020-01-01 01:24:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 01:25:00,7182.21000000,7182.21000000,7182.21000000,7182.21000000,0.00000000,2020-01-01 01:29:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 01:30:00,7216.34000000,7226.82000000,7216.34000000,7226.82000000,0.05461000,2020-01-01 01:34:59.999000,394.37358588,3,0.05461000,394.37358588,0
2020-01-01 01:35:00,7226.82000000,7226.82000000,7226.82000000,7226.82000000,0.00000000,2020-01-01 01:39:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 01:40:00,7226.82000000,7226.82000000,7226.82000000,7226.82000000,0.00000000,2020-01-01 01:44:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 01:45:00,7226.82000000,7226.82000000,7226.82000000,7226.82000000,0.00000000,2020-01-01 01:49:59.999000,0.00000000,0,0.00000000,0.00000000,0
2020-01-01 01:50:00,7204.79000000,7204.79000000,7204.79000000,7204.79000000,0.01280700,2020-01-01 01:54:59.999000,92.27174553,1,0.00000000,0.00000000,0
2020-01-01 01:55:00,7207.13000000,7212.38000000,7200.00000000,7212.38000000,4.02987500,2020-01-01 01:59:59.999000,29021.42850187,14,0.96327400,6935.94265250,0
2020-01-01 02:00:00,7213.97000000,7219.29000000,7213.97000000,7217.57000000,0.08156800,2020-01-01 02:04:59.999000,588.71647164,4,0.00000000,0.00000000,0
2020-01-01 02:05:00,7217.35000000,7217.44000000,7217.35000000,7217.44000000,0.03060100,2020-01-01 02:09:59.999000,220.85924992,2,0.01812800,130.83612080,0
2020-01-01 02:10:00,7212.30000000,7212.30000000,7212.30000000,7212.30000000,0.06000000,2020-01-01 02:14:59.999000,432.73800000,1,0.06000000,432.73800000,0
2020-01-01 02:15:00,7213.14000000,7216.39000000,7213.14000000,7216.39000000,0.07197800,2020-01-01 02:19:59.999000,519.34892793,4,0.07197800,519.34892793,0
2020-01-01 02:20:00,7218.89000000,7223.04000000,7218.89000000,7223.04000000,0.06158900,2020-01-01 02:24:59.999000,444.71328159,3,0.02918300,210.66886687,0
2020-01-01 02:25:00,7234.55000000,7235.15000000,7231.85000000,7233.99000000,0.11167000,2020-01-01 02:29:59.999000,807.71853430,4,0.08957100,647.84221385,0
2020-01-01 02:30:00,7233.99000000,7233.99000000,7233.99000000,7233.99000000,0.00000000,2020-01-01 02:34:59.999000,0.00000000,0,0.00000000,0.00000000,0
